rule_id,API_norm_MF,S_t_MF,SMI_t_MF,Pt_MF,delta_WL_t_MF,rule_output_constant
0,0,0,0,0,0,[-0.2268029   0.5303977   0.00944047 -0.04923564  0.03961468  0.3083121 ]
1,0,0,0,0,1,[ 0.27856377  0.30582324 -0.7439338  -0.57093865 -0.24077055 -0.4804425 ]
2,0,0,0,0,2,[-0.55962795  0.59940326 -0.09963307  0.09986821  0.8386839   0.15958576]
3,0,0,0,0,3,[ 0.02469012  0.3183085   0.20772749  0.00734159 -0.54932094  0.21436155]
4,0,0,0,0,4,[-0.127641    0.86695695  0.01520767  0.04397357  0.5206909   0.6788991 ]
5,0,0,0,1,0,[-1.4674904  -0.15756525  0.70365596  0.03916161  0.52144426  0.768414  ]
6,0,0,0,1,1,[-0.27741095 -0.07070511  0.16626549 -0.44840142  0.60889626  1.2504928 ]
7,0,0,0,1,2,[-2.786501   -1.3337544   0.72906435  0.235369    2.1255782  -0.4683619 ]
8,0,0,0,1,3,[-0.49815384  0.20340817  0.52505314  0.03462261 -1.1335613   0.4316524 ]
9,0,0,0,1,4,[-1.3387073   0.2869505   0.68890727  0.14098744  1.3966587   1.2071741 ]
10,0,0,0,2,0,[-0.73766965  0.13446578  0.30806845  0.0583167   0.22830041  0.4598054 ]
11,0,0,0,2,1,[ 0.01530752  0.07286759 -0.2180346  -0.3286827   0.16726337  0.37947738]
12,0,0,0,2,2,[-1.4595982  -0.33915007  0.27310365  0.20917027  1.275011   -0.12535602]
13,0,0,0,2,3,[-0.21142696  0.19518338  0.3047669   0.06048862 -0.7579946   0.24417587]
14,0,0,0,2,4,[-0.6432778   0.47661534  0.30640817  0.13091022  0.8198206   0.8154842 ]
15,0,0,0,3,0,[-0.6148913   0.46103567  0.17936297  0.00597756  0.15521206  0.4863445 ]
16,0,0,0,3,1,[ 0.2003171   0.24702206 -0.68173444 -0.6048856  -0.08813332 -0.139888  ]
17,0,0,0,3,2,[-1.2974225   0.22823805  0.07769665  0.20060112  1.3653176   0.02939674]
18,0,0,0,3,3,[-0.11054482  0.344615    0.32104617  0.04986363 -0.8660804   0.28504628]
19,0,0,0,3,4,[-0.48901948  0.9113776   0.1847555   0.11330232  0.8616554   0.971796  ]
20,0,0,0,4,0,[-0.8985182   0.79768497  0.28428808  0.18815927  0.2593825   0.9035728 ]
21,0,0,0,4,1,[ 0.30997932  0.46264073 -0.84255433 -0.5575279  -0.03601499  0.17413527]
22,0,0,0,4,2,[-1.9235364   0.5092053   0.15976131  0.4853176   2.0524955   0.3363554 ]
23,0,0,0,4,3,[-0.15444686  0.57730186  0.42805508  0.18436857 -1.2757684   0.45312646]
24,0,0,0,4,4,[-0.73642474  1.4424437   0.30205408  0.31151283  1.2900678   1.6096323 ]
25,0,0,1,0,0,[-0.11454882  0.45156613 -0.04049151 -0.1406082   0.06388368  0.27499607]
26,0,0,1,0,1,[ 0.36986154  0.09978913 -0.9148667  -0.7606572  -0.33473533 -0.77462804]
27,0,0,1,0,2,[-0.4630994   0.46871135 -0.16901308 -0.0489659   0.8013486   0.09389552]
28,0,0,1,0,3,[ 0.1454246   0.34139732  0.18450621 -0.00599495 -0.4622288   0.2726598 ]
29,0,0,1,0,4,[-0.0506369   0.75557154 -0.03904229 -0.05590754  0.504164    0.6021158 ]
30,0,0,1,1,0,[-1.1386814  -0.27352527  0.92653    -0.05693093  0.6694408   1.1644692 ]
31,0,0,1,1,1,[ 0.11619203 -0.45836297  0.4046182  -0.63040054  0.6294451   1.4457427 ]
32,0,0,1,1,2,[-2.3957078  -1.449142    1.0377026   0.07695407  2.2218134   0.1421378 ]
33,0,0,1,1,3,[-0.26802504  0.22167335  0.59953237  0.0170911  -0.9477768   0.6711462 ]
34,0,0,1,1,4,[-1.0631003   0.13072723  0.89616823  0.03618225  1.4736342   1.5343649 ]
35,0,0,1,2,0,[-0.5435521   0.04319296  0.38950282 -0.01100404  0.3055919   0.6215584 ]
36,0,0,1,2,1,[ 0.23582272 -0.19173433 -0.17412655 -0.4655432   0.14356902  0.35377887]
37,0,0,1,2,2,[-1.2440796  -0.45467982  0.3838649   0.09200894  1.3039943   0.11444186]
38,0,0,1,2,3,[-0.05982296  0.20771676  0.33101696  0.05186795 -0.63959694  0.37482163]
39,0,0,1,2,4,[-0.48692644  0.3547584   0.3785494   0.05401715  0.848883    0.92844945]
40,0,0,1,3,0,[-0.4180976   0.34366608  0.1919056  -0.10123172  0.21791027  0.5557688 ]
41,0,0,1,3,1,[ 0.39983356 -0.06792519 -0.7781632  -0.82132167 -0.17097922 -0.37022522]
42,0,0,1,3,2,[-1.0987506   0.05734803  0.09360008  0.02402703  1.3543543   0.12116393]
43,0,0,1,3,3,[ 0.06585599  0.36500296  0.31966478  0.03400608 -0.733546    0.4025034 ]
44,0,0,1,3,4,[-0.3398783   0.7526052   0.1886062  -0.00419093  0.8661454   0.98092794]
45,0,0,1,4,0,[-0.63201314  0.5985811   0.31486574  0.04493542  0.34788615  1.0010214 ]
46,0,0,1,4,1,[ 0.59872895 -0.01870565 -0.94252986 -0.82233816 -0.13969332 -0.1158073 ]
47,0,0,1,4,2,[-1.651558    0.22649685  0.19802538  0.25289333  2.037275    0.46669525]
48,0,0,1,4,3,[ 0.07538725  0.5823451   0.42873856  0.15352893 -1.0952288   0.6067901 ]
49,0,0,1,4,4,[-0.5330945   1.187452    0.31963903  0.15691608  1.2969162   1.6229564 ]
50,0,0,2,0,0,[ 0.17351624  0.78934723 -0.06356598 -0.04954715  0.27147385  0.56015176]
51,0,0,2,0,1,[ 0.87866133  0.14843313 -1.3195747  -0.8833055  -0.329018   -1.141077  ]
52,0,0,2,0,2,[-0.2676579   0.78908116 -0.33088174  0.07048406  1.2101991   0.22315404]
53,0,0,2,0,3,[ 0.46926093  0.735219    0.3462224   0.1312382  -0.37737152  0.74974406]
54,0,0,2,0,4,[ 0.21456999  1.1544749  -0.08787709  0.04059871  0.81750286  0.9287698 ]
55,0,0,2,1,0,[-1.1640637  -0.20472504  0.8769147   0.05244396  1.0062245   1.3797798 ]
56,0,0,2,1,1,[ 0.58014864 -0.8568358  -0.10235179 -0.7062415   0.74475664  0.99183893]
57,0,0,2,1,2,[-2.8025138  -1.8054924   0.7490491   0.23090139  2.9612343  -0.22100069]
58,0,0,2,1,3,[-0.08011047  0.67030483  0.77435666  0.14281656 -0.9971165   1.2290611 ]
59,0,0,2,1,4,[-1.1067332   0.2823633   0.81254613  0.15864648  2.0283434   1.8023201 ]
60,0,0,2,2,0,[-0.44606477  0.18061058  0.35793197  0.09801324  0.52420795  0.81374675]
61,0,0,2,2,1,[ 0.65071    -0.38851497 -0.55005366 -0.50233907  0.18975045  0.00069298]
62,0,0,2,2,2,[-1.3540846  -0.5128609   0.19194889  0.2360222   1.7870929  -0.0074812 ]
63,0,0,2,2,3,[ 0.14244035  0.53800386  0.467151    0.17508706 -0.6498051   0.7842111 ]
64,0,0,2,2,4,[-0.40537325  0.55985624  0.32322812  0.16843729  1.2122724   1.1683019 ]
65,0,0,2,3,0,[-0.16179319  0.6549738   0.15016194  0.02796879  0.48874766  0.8587016 ]
66,0,0,2,3,1,[ 1.0057257  -0.17650345 -1.3010386  -0.9336466  -0.15144391 -0.86975694]
67,0,0,2,3,2,[-1.0368841   0.23619226 -0.14479463  0.19390103  1.9306558   0.12196019]
68,0,0,2,3,3,[ 0.41254374  0.83657396  0.5109035   0.20482977 -0.6904496   0.9739853 ]
69,0,0,2,3,4,[-0.10885996  1.1510679   0.11543848  0.13203436  1.3029974   1.3464036 ]
70,0,0,2,4,0,[-0.32361123  1.0224202   0.26244685  0.28161108  0.7178139   1.4576955 ]
71,0,0,2,4,1,[ 1.4363393  -0.21818951 -1.6191092  -0.850154   -0.09563756 -0.709093  ]
72,0,0,2,4,2,[-1.6326534   0.46348765 -0.11991899  0.5668327   2.8698175   0.52726567]
73,0,0,2,4,3,[ 0.5080178   1.2301557   0.6706633   0.40349758 -1.0900232   1.3681135 ]
74,0,0,2,4,4,[-0.25382808  1.7465229   0.23069108  0.40138546  1.9206744   2.1886044 ]
75,0,0,3,0,0,[0.28080058 0.9246949  0.01845197 0.13829277 0.3435731  0.6868927 ]
76,0,0,3,0,1,[ 0.9951682   0.3091789  -1.0752672  -0.5338069  -0.15166934 -0.8424865 ]
77,0,0,3,0,2,[-0.08010416  0.9513721  -0.23569554  0.3108564   1.2556127   0.37173018]
78,0,0,3,0,3,[ 0.50691706  0.85280585  0.41698417  0.22439864 -0.28005722  0.8940233 ]
79,0,0,3,0,4,[ 0.32603076  1.2677659  -0.01339441  0.21622561  0.86602587  1.0313644 ]
80,0,0,3,1,0,[-1.1411923  -0.04664141  0.46267027  0.20962635  0.8468576   0.7729575 ]
81,0,0,3,1,1,[ 0.44518685 -0.73185384 -0.62820053 -0.41658193  0.5640969   0.06266001]
82,0,0,3,1,2,[-2.6681356  -1.589981    0.16605087  0.4384903   2.6533577  -1.0367957 ]
83,0,0,3,1,3,[-0.09396165  0.8258582   0.66527903  0.21569574 -0.933649    1.1245272 ]
84,0,0,3,1,4,[-1.0621601   0.4145984   0.4080079   0.30733386  1.8375365   1.1949203 ]
85,0,0,3,2,0,[-0.41405058  0.2959701   0.19301651  0.21270496  0.4669454   0.56372327]
86,0,0,3,2,1,[ 0.60148567 -0.28141835 -0.7112109  -0.2843939   0.15522668 -0.3465836 ]
87,0,0,3,2,2,[-1.2419798  -0.3626879  -0.04214007  0.38901493  1.6512271  -0.34343073]
88,0,0,3,2,3,[ 0.13589303  0.6473686   0.43581858  0.22512156 -0.5934998   0.7720338 ]
89,0,0,3,2,4,[-0.35929635  0.65602016  0.16175376  0.27752593  1.133372    0.91252434]
90,0,0,3,3,0,[-0.07290372  0.8179813   0.1046492   0.22250596  0.5001873   0.78577334]
91,0,0,3,3,1,[ 1.0462786  -0.0015725  -1.232158   -0.56761664 -0.0544364  -0.8877725 ]
92,0,0,3,3,2,[-0.8427001   0.4391399  -0.22291914  0.4473099   1.8743837   0.01119138]
93,0,0,3,3,3,[ 0.43060237  0.9840095   0.5396399   0.29627377 -0.5901327   1.0619239 ]
94,0,0,3,3,4,[-0.00755286  1.2871846   0.06717597  0.31527796  1.2849994   1.254061  ]
95,0,0,3,4,0,[-0.19422665  1.2413936   0.16538899  0.5326761   0.70866424  1.2890894 ]
96,0,0,3,4,1,[ 1.4761473   0.01202661 -1.5964727  -0.3933027  -0.00868561 -0.87312865]
97,0,0,3,4,2,[-1.3482338  0.7379332 -0.2687195  0.8930575  2.7560446  0.2929061]
98,0,0,3,4,3,[ 0.5370061   1.430122    0.69741267  0.52598506 -0.9569009   1.4626902 ]
99,0,0,3,4,4,[-0.10590008  1.929157    0.1321939   0.63733697  1.8707497   1.9974372 ]
100,0,0,4,0,0,[ 0.08698063  0.5564352  -0.12078704 -0.1640692   0.1614861   0.34510797]
101,0,0,4,0,1,[ 0.6650973  -0.02337771 -1.2984961  -0.9635205  -0.4290309  -1.2339134 ]
102,0,0,4,0,2,[-0.32337126  0.5293276  -0.34025702 -0.09656426  0.96034735  0.0511925 ]
103,0,0,4,0,3,[ 0.37643674  0.5400461   0.23088488  0.04795599 -0.38181034  0.5163578 ]
104,0,0,4,0,4,[ 0.1182005   0.87341267 -0.13237478 -0.08087146  0.63274306  0.6706692 ]
105,0,0,4,1,0,[-0.96484846 -0.33919823  0.9910309  -0.07201594  0.90094256  1.4486814 ]
106,0,0,4,1,1,[ 0.57739013 -0.92916137  0.19772983 -0.80166954  0.64802986  1.2223439 ]
107,0,0,4,1,2,[-2.3858097  -1.7385035   1.0259778   0.04317757  2.6245294   0.2463257 ]
108,0,0,4,1,3,[-0.03917559  0.43511957  0.70369786  0.0641563  -0.8843584   1.0524884 ]
109,0,0,4,1,4,[-0.9312352   0.08526898  0.93790567  0.02305598  1.7762144   1.8086449 ]
110,0,0,4,2,0,[-0.38556167  0.03738466  0.38822582 -0.00699765  0.44252804  0.7687538 ]
111,0,0,4,2,1,[ 0.56939137 -0.47509837 -0.40856352 -0.5842964   0.11487255  0.07507029]
112,0,0,4,2,2,[-1.1838528  -0.57948625  0.31241447  0.08206012  1.5438296   0.13688879]
113,0,0,4,2,3,[ 0.13055423  0.36618733  0.39494172  0.10466262 -0.58905834  0.6291838 ]
114,0,0,4,2,4,[-0.36019823  0.3665063   0.36226025  0.05660831  1.0323008   1.0737035 ]
115,0,0,4,3,0,[-0.18275264  0.40512058  0.13028297 -0.11582154  0.3650686   0.68431824]
116,0,0,4,3,1,[ 0.80969226 -0.34397256 -1.1974334  -1.0370556  -0.262313   -0.8806651 ]
117,0,0,4,3,2,[-0.96788865  0.01333752 -0.07600579 -0.01611757  1.6082367   0.09240671]
118,0,0,4,3,3,[ 0.3419318   0.5958734   0.38789615  0.10331308 -0.6517971   0.72049737]
119,0,0,4,3,4,[-0.14629467  0.83543515  0.10923211 -0.02061076  1.0650417   1.1093397 ]
120,0,0,4,4,0,[-0.33303252  0.6579874   0.23968968  0.05872627  0.5505994   1.2000862 ]
121,0,0,4,4,1,[ 1.1744035  -0.4529548  -1.479959   -1.0318342  -0.25016624 -0.7525302 ]
122,0,0,4,4,2,[-1.5060724   0.13236295 -0.02169756  0.24649136  2.407025    0.4602429 ]
123,0,0,4,4,3,[ 0.42522538  0.88531977  0.5129404   0.25162646 -1.011196    1.0272459 ]
124,0,0,4,4,4,[-0.28741845  1.2845783   0.22282512  0.16882516  1.582668    1.832414  ]
125,0,1,0,0,0,[-0.14060035  0.25670135 -0.09362598 -0.13526532 -0.05117634 -0.00989449]
126,0,1,0,0,1,[ 0.16080625  0.041784   -0.7194716  -0.58502847 -0.36027893 -0.8045699 ]
127,0,1,0,0,2,[-0.39691532  0.26823473 -0.19530424 -0.08699179  0.4397223  -0.1747914 ]
128,0,1,0,0,3,[ 0.05280497  0.15409814  0.0785731  -0.02387025 -0.40900618  0.01561758]
129,0,1,0,0,4,[-0.09542855  0.46583718 -0.0878091  -0.07774212  0.2563706   0.22541398]
130,0,1,0,1,0,[-0.879712   -0.14802572  0.46516535 -0.07809258  0.29622468  0.4971547 ]
131,0,1,0,1,1,[-0.05226782 -0.13837473  0.03200115 -0.4929158   0.22460753  0.6092528 ]
132,0,1,0,1,2,[-1.7579907  -0.89977336  0.50612444  0.00303233  1.349087   -0.24707398]
133,0,1,0,1,3,[-0.2778046   0.05790483  0.29151997 -0.01364984 -0.83086187  0.15221298]
134,0,1,0,1,4,[-0.8198955   0.13002476  0.45826975 -0.0137828   0.8637633   0.7767715 ]
135,0,1,0,2,0,[-0.4395712   0.02886967  0.16721587 -0.03910479  0.09865803  0.21543197]
136,0,1,0,2,1,[ 0.06933328 -0.05904495 -0.26217517 -0.3691013  -0.04604658 -0.03248874]
137,0,1,0,2,2,[-0.93247104 -0.28679928  0.1435098   0.02188315  0.77277863 -0.1648822 ]
138,0,1,0,2,3,[-0.10179472  0.06928701  0.1550543   0.01655537 -0.5572756   0.05041172]
139,0,1,0,2,4,[-0.39641866  0.24303558  0.16784067  0.00561239  0.4807762   0.44214323]
140,0,1,0,3,0,[-0.37145     0.19792858  0.02400945 -0.11706968  0.0134523   0.1105229 ]
141,0,1,0,3,1,[ 0.15201701 -0.02054673 -0.68626213 -0.6400891  -0.29958674 -0.61792475]
142,0,1,0,3,2,[-0.85770017  0.01757572 -0.0649181  -0.04739405  0.7758204  -0.2358123 ]
143,0,1,0,3,3,[-0.02557853  0.14861508  0.14119753 -0.00291903 -0.6416139   0.02693011]
144,0,1,0,3,4,[-0.31408814  0.47914612  0.0301506  -0.05068978  0.46788728  0.42000687]
145,0,1,0,4,0,[-0.5541365   0.36509705  0.06430399 -0.03385315  0.04017273  0.30424514]
146,0,1,0,4,1,[ 0.24371955  0.0457878  -0.85855114 -0.66131914 -0.3572285  -0.58286893]
147,0,1,0,4,2,[-1.274789    0.1393498  -0.04288467  0.09080285  1.1771656  -0.12114836]
148,0,1,0,4,3,[-0.05759055  0.25233322  0.17957848  0.06389022 -0.95756423  0.04990984]
149,0,1,0,4,4,[-0.47862658  0.7704568   0.08037132  0.0442799   0.70653576  0.75866354]
150,0,1,1,0,0,[-0.07602072  0.19007102 -0.14326787 -0.21135835 -0.0447779  -0.05598424]
151,0,1,1,0,1,[ 0.20927963 -0.12010831 -0.87190676 -0.7422503  -0.44768208 -1.0557662 ]
152,0,1,1,0,2,[-0.3515032   0.16345756 -0.26218438 -0.2061989   0.4067426  -0.24899848]
153,0,1,1,0,3,[ 0.13215685  0.16059369  0.05395335 -0.03873224 -0.35928077  0.04037839]
154,0,1,1,0,4,[-0.05509081  0.3796666  -0.13949169 -0.15875481  0.23794764  0.15273719]
155,0,1,1,1,0,[-0.6719497  -0.24923016  0.62563187 -0.155553    0.39534006  0.77422184]
156,0,1,1,1,1,[ 0.2085833  -0.43267527  0.19417137 -0.641077    0.22717339  0.7450677 ]
157,0,1,1,1,2,[-1.5229435  -1.0091709   0.73177373 -0.12063669  1.4248298   0.1797472 ]
158,0,1,1,1,3,[-0.12569357  0.05369109  0.33974424 -0.03020227 -0.7181901   0.30590373]
159,0,1,1,1,4,[-0.64925784  0.00543112  0.60865533 -0.09651321  0.9198881   1.0102193 ]
160,0,1,1,2,0,[-0.31829816 -0.0477575   0.22066203 -0.09530957  0.14720991  0.32099238]
161,0,1,1,2,1,[ 0.2127258  -0.26050407 -0.24583289 -0.48105046 -0.07535222 -0.06634302]
162,0,1,1,2,2,[-0.80659074 -0.3846707   0.21817361 -0.06985719  0.79485166 -0.00686313]
163,0,1,1,2,3,[-0.00102495  0.06710559  0.1686967   0.00753079 -0.48613733  0.13036412]
