rule_id,API_norm_MF,S_t_MF,SMI_t_MF,Pt_MF,delta_WL_t_MF,rule_output_constant
0,0,0,0,0,0,[-0.18909921  1.2094415   0.30278197  0.58029014  0.85493076  1.5199809 ]
1,0,0,0,0,1,[-0.5556668   0.6039376   0.48988432  0.7237142   0.06646232  0.9326301 ]
2,0,0,0,0,2,[-0.27707666 -0.12290763 -0.19961457  0.21305159  0.7342884  -0.11496408]
3,0,0,0,0,3,[-0.7017592   0.41450146  0.63453627  0.822241   -0.33441895  0.77211016]
4,0,0,0,0,4,[-0.12354805  0.64927554 -0.01881634  0.25979418  0.6888938   0.7644576 ]
5,0,0,0,1,0,[-0.3508448   1.0287178   0.07163557  0.31892508  0.24119484  1.2233706 ]
6,0,0,0,1,1,[-0.89634544  0.01249886  0.22482911  0.3926541  -0.67165995  0.17508622]
7,0,0,0,1,2,[-0.20428064  0.10228886 -0.38688838  0.08518089  0.3033392   0.04828719]
8,0,0,0,1,3,[-1.1550914  -0.44280553  0.3536722   0.44946772 -1.1393976  -0.28591636]
9,0,0,0,1,4,[-0.10022423  0.8328776  -0.16065332  0.13065591  0.2974533   0.895279  ]
10,0,0,0,2,0,[-0.19117342  0.6629613   0.12832825  0.30792898  0.31442586  0.8409745 ]
11,0,0,0,2,1,[-0.5005094   0.10704228  0.23622309  0.3751677  -0.25958848  0.2771914 ]
12,0,0,0,2,2,[-0.16346283 -0.05928217 -0.18340398  0.11517548  0.30788237 -0.0596575 ]
13,0,0,0,2,3,[-0.6385082  -0.11531921  0.32322115  0.42299592 -0.5518707   0.0598368 ]
14,0,0,0,2,4,[-0.07889696  0.44372922 -0.05276019  0.14102072  0.29559535  0.51210016]
15,0,0,0,3,0,[-0.11077946  1.0868787   0.27527374  0.54626626  0.7061807   1.4062587 ]
16,0,0,0,3,1,[-0.4480828   0.5003794   0.43370903  0.6656682   0.01048881  0.8305444 ]
17,0,0,0,3,2,[-0.16387329 -0.0047171  -0.15713513  0.23864138  0.6233326   0.05463419]
18,0,0,0,3,3,[-0.5896464   0.2927557   0.55567634  0.7450832  -0.3460704   0.64163214]
19,0,0,0,3,4,[-0.04942314  0.6437822  -0.00261779  0.2651258   0.57848364  0.78416175]
20,0,0,0,4,0,[-0.59884375  1.1373277   0.16229726  0.471874    0.43287662  1.3774204 ]
21,0,0,0,4,1,[-1.2896405  -0.09839907  0.37961078  0.5940884  -0.8211776   0.11446169]
22,0,0,0,4,2,[-0.49324155 -0.3336142  -0.48014668  0.09698662  0.4601889  -0.45382625]
23,0,0,0,4,3,[-1.5966657  -0.5932061   0.56065685  0.6891739  -1.4535598  -0.37130517]
24,0,0,0,4,4,[-0.28984445  0.7719373  -0.1860858   0.17801508  0.46966237  0.8207991 ]
25,0,0,1,0,0,[-0.1274243   1.3563821   0.47032833  0.7264963   1.1127801   1.8867233 ]
