timestamp,water_level_cm,precipitation_mm
2021-01-01,299,0.0
2021-01-02,269,0.0
2021-01-03,239,0.0
2021-01-04,218,0.0
2021-01-05,203,0.0
2021-01-06,195,0.0
2021-01-07,189,0.0
2021-01-08,186,0.0
2021-01-09,183,0.0
2021-01-10,179,0.0
2021-01-11,178,0.0
2021-01-12,177,0.0
2021-01-13,172,0.0
2021-01-14,170,0.0
2021-01-15,168,0.0
2021-01-16,176,0.0
2021-01-17,179,0.0
2021-01-18,177,0.0
2021-01-19,183,0.0
2021-01-20,183,0.0
2021-01-21,186,0.0
2021-01-22,193,0.0
2021-01-23,206,0.0
2021-01-24,244,0.0
2021-01-25,316,0.0
2021-01-26,358,0.0
2021-01-27,361,0.0
2021-01-28,330,0.0
2021-01-29,279,0.0
2021-01-30,253,0.0
2021-01-31,237,0.0
2021-02-01,223,0.0
2021-02-02,212,0.0
2021-02-03,210,0.0
2021-02-04,200,0.0
2021-02-05,196,0.0
2021-02-06,198,0.0
2021-02-07,193,0.0
2021-02-08,189,0.0
2021-02-09,190,0.0
2021-02-10,188,0.0
2021-02-11,184,0.0
2021-02-12,178,0.0
2021-02-13,175,0.0
2021-02-14,174,0.0
2021-02-15,173,0.0
2021-02-16,169,0.0
2021-02-17,163,0.0
2021-02-18,161,0.0
2021-02-19,155,0.0
2021-02-20,155,0.0
2021-02-21,152,0.0
2021-02-22,158,0.0
2021-02-23,157,0.0
2021-02-24,158,0.0
2021-02-25,185,0.0
2021-02-26,262,0.0
2021-02-27,342,0.0
2021-02-28,347,0.0
2021-03-01,316,0.0
2021-03-02,284,0.0
2021-03-03,263,0.0
2021-03-04,248,0.0
2021-03-05,235,0.0
2021-03-06,222,0.0
2021-03-07,213,0.0
2021-03-08,205,0.0
2021-03-09,196,0.0
2021-03-10,188,0.0
2021-03-11,185,0.0
2021-03-12,187,0.0
2021-03-13,238,0.0
2021-03-14,324,0.0
2021-03-15,385,0.0
2021-03-16,410,0.0
2021-03-17,400,0.0
2021-03-18,359,0.0
2021-03-19,312,0.0
2021-03-20,277,0.0
2021-03-21,258,0.0
2021-03-22,257,0.0
2021-03-23,261,0.0
2021-03-24,252,0.0
2021-03-25,238,0.0
2021-03-26,229,0.0
2021-03-27,220,0.0
2021-03-28,214,0.0
2021-03-29,210,0.0
2021-03-30,274,0.0
2021-03-31,317,0.0
2021-04-01,295,0.0
2021-04-02,295,0.0
2021-04-03,293,0.0
2021-04-04,273,0.0
2021-04-05,255,0.0
2021-04-06,248,0.0
2021-04-07,252,0.0
2021-04-08,250,0.0
2021-04-09,250,0.0
2021-04-10,237,0.0
